Country Name,CPI_AnnualChange,GDP_Growth,MoneySupply_GDPpct,ExchangeRate_LCUperUSD,CPI_log,MoneySupply_log,ExchangeRate_log
Early-demographic dividend,7.256874818310369,4.198036918123601,39.16549107495348,,2.0091426132770835,3.645495735169049,
East Asia & Pacific,3.816504226471305,5.265880570306727,139.20976093531004,,1.4816015107975353,4.880507082025331,
East Asia & Pacific (IDA & IBRD countries),4.755985481484766,7.038346795550444,112.92267464950486,,1.6711955539695666,4.589060432778409,
East Asia & Pacific (excluding high income),5.464612834430727,7.039902063076245,112.92267464950483,,1.7830292054217505,4.589060432778409,
Ecuador,16.872996595590113,3.7106769752741955,23.04130220104505,558.0500701743441,2.2696356620924862,3.0367799059925056,3.0987726276112797
"Egypt, Arab Rep.",10.339455686158548,5.107051151302121,70.08692552397368,5.039615502084372,2.236099420141196,4.206627212147159,1.29154507060759
El Salvador,6.941123299980412,2.1984559725523387,42.93865643688552,3.1083089917186943,1.6125456610322282,3.723665740083821,1.2470708475999064
Equatorial Guinea,3.792076569870658,12.44204657528901,13.264874363123335,410.7592696281715,1.5905143186255362,2.555273805790985,5.944740984510454
Eritrea,,3.7843554813571987,132.02116213313457,7.497757105880054,,4.875131787151878,1.871283775835077
Estonia,9.816872424220577,2.1214629348904586,,7.876713169913937,1.6771974754530983,,1.7626882051503248
Eswatini,9.16339697539453,4.783597635475497,26.300720048709206,5.293296607442413,2.178716349323928,3.285397170983076,1.4924972009725248
Ethiopia,10.121722709150475,5.236928877265835,21.538734616952876,9.441233882860507,2.1879388660450343,2.951758351020104,1.9045382822890604
Euro area,4.247784347970603,2.568667637995389,,0.8583036742382788,1.479850777004426,,0.6178901013328405
Europe & Central Asia,4.173463714467756,2.556433463135752,,,1.4624547481993515,,
Europe & Central Asia (IDA & IBRD countries),17.39045152525232,2.16792844547647,31.897907298820833,,2.166973096115291,3.4065870226969825,
Europe & Central Asia (excluding high income),41.777723393422235,3.2056450450952725,31.304594441974135,,2.290134549517327,3.407747541031834,
European Union,4.474818735967626,2.6053469977809045,,,1.5385660122842828,,
Faroe Islands,,2.6715893765761787,,6.702822477772862,,,2.032970087706491
Fiji,5.405176805907652,3.079917131200386,50.652724472094654,1.4291610804112314,1.693781870441822,3.8849391328188108,0.8636998612955209
Finland,4.526141350554741,2.6309494780056606,,2.886737564186534,1.4394591245888084,,1.234125407820923
Fragile and conflict affected situations,6.852416110109401,3.0432353865639383,28.87840070690212,,1.9144770573742511,3.3465378222877953,
France,4.038373291660402,2.671911798422639,,3.636926355701906,1.3923276142711938,,1.3623598892843498
French Polynesia,,1.9014251908714221,,100.85515102150428,,,4.610946828390149
Gabon,4.675243709851714,4.019875845370668,17.88759782129099,410.7592696281715,1.4915436561318804,2.924691348565275,5.944740984510454
"Gambia, The",8.260801590672921,3.7549836508123033,25.713108652394563,16.137519861100195,2.0125672230967337,3.210117592136775,2.2768713619499352
Georgia,11.942226957038313,3.0326963194189336,28.64902137760599,2.080999885984428,1.7357817647000828,3.1915982064317685,1.110777633169823
Germany,2.6891371676134175,2.2210161329823643,,1.9422794999172044,1.1855943479362858,,1.0066411399798214
Ghana,27.17350645288834,3.708724963719028,23.03546099732561,1.1328020384052124,3.066304485852214,3.149691009674608,0.4657199530688311
Gibraltar,,,,0.5745197891012215,,,0.4502873031001612
Greece,7.734596526568017,2.7914712283023415,,68.42756492605982,1.741666387511189,,2.9329880410446965
Greenland,,2.7313100761027758,,6.703448057580456,,,2.033049351057478
Grenada,4.178491104534025,3.1218147774688285,71.71228945143343,2.4931539620684404,1.0947191644330991,4.236501016700334,1.2446686725611817
Guam,,0.9371967558262118,,1.0,,,0.6931471805599453
Guatemala,7.624176921695547,3.8406054376161776,31.231370430956275,4.421989390870513,1.7779329167583688,3.375818503871527,1.4809678103055945
Guinea,13.970526971437891,3.9482300167643016,15.534800367683552,2152.074620625092,2.5896626537123693,2.6828436801702793,5.806560005272082
Guinea-Bissau,15.820829494978629,3.4371921538455097,22.601504634007267,410.7592696281715,2.1141419951423543,2.942135044547109,5.944740984510454
Guyana,4.448047584128492,5.161932895192031,57.12423586997105,99.54843723897253,1.5906773363327058,3.9577356769390857,3.407834076941902
Haiti,11.256500064155025,1.188170599744547,24.91000265118202,26.94279127089936,2.3000852807250407,3.1967733789453927,2.7494584332205685
Heavily indebted poor countries (HIPC),7.337826150635427,3.3071656627520762,46.41162543921225,,2.0218142295752632,3.4537253050580015,
High income,3.4379865086193493,2.948686582813314,90.6391207050927,,1.3779805856400928,4.488087888280091,
